Stage,Type,Name,Key,HP,ATK,SPD,DEF,Color,PassiveIcon,Passive (EN),Passive (TH),Overdrive Name,Overdrive Icon,Overdrive (EN),Overdrive (TH)
,,,,,,,,,,,,,,,
Evolve1,-,GHOST,GHOST,75,20,16,10,#ffd700,??,"At battle start randomly gains one buff: ATK+25%, ???????? +25%, or DEF+25% (lasts entire battle)","???????????????? ?????????? 1 ???: ATK+25%, ???????? +25% ???? DEF+25% (?????????????)",-,-,-,-
,,,,,,,,,,,,,,,
Evolve2,FIST,RAGEBEAR-GHOST,RAGEBEAR-GHOST,112,48,15,6,#8B4513,??,,????? x1.75 ???????????? HP > 70%,BEAR RAGE,??,,????? x4.0 + ????????????? ??????? ATK+30% ??? Crit+25% ??? 3 ??????
Evolve2,FIST,LION-GHOST,LION-GHOST,108,52,16,5,#FF8C00,??,,????? 3 ?????????????????????????????????????????? ????? ATK ????? 10% ?????????????,KING'S ROAR,??,,????? x3.5 ??????? ATK+40% ???????? DEF-20% ??? 3 ??????
Evolve2,FIST,TIGER-GHOST,TIGER-GHOST,114,50,18,5,#FF6600,??,,????? WIN ?????+50% ????? LOSE SPD+100% ??????????,TIGER CLAW,??,,????? x4.0 ???? DEF + ?????????????????????? 3 ??????
Evolve2,FIST,WOLF-GHOST,WOLF-GHOST,106,46,20,6,#808080,??,,?????????? 2 ????? 25% ????????? 35% ????? HP<50%,WOLF FANG,??,,????? 2 ????? x2.5 ????????????????? 2 ????? +50% ??? 3 ??????
Evolve2,FIST,SHARK-GHOST,SHARK-GHOST,118,49,14,7,#4682B4,??,,?????+30% ???????? 30% ??????????? HP<50%,SHARK BITE,??,,????? x4.0 ???????? HP<50% ???? x2.5 ??? HP>50% ??????????????? 25% ??? 3 ??????
Evolve2,FIST,MANTIS-GHOST,MANTIS-GHOST,102,54,17,4,#32CD32,??,,?????????????????????????????????????? x2.0 ??? x1.6 ???????? HP <20% ????????????? + 50%,MANTIS SLASH,??,,????? x3.5 (?????????) + DEF ????? -50% ??? 3 ??????
,,,,,,,,,,,,,,,
Evolve2,WING,BEE-GHOST,BEE-GHOST,100,28,44,5,#FFD700,??,,????? 15% ????? 3 ????? ?????????????????????????????????? 50%,BEE SWARM,??,,????? 4 ????? x1.5 ??????????+25% ??? 3 ??????
Evolve2,WING,BUNNY-GHOST,BUNNY-GHOST,96,24,48,4,#FFB6C1,??,,??? 20% ?????????????? ATK+50% ????????,BUNNY HOP,??,,????? x3.0 + ??????????????????? ??????????+35% ??? ??????? 50% ???????????????????????(????????? 50%???????? 3 ??????) ??? 3 ??????
Evolve2,WING,TRICKFOX-GHOST,TRICKFOX-GHOST,104,30,42,5,#FF6347,??,,????? 50% ????????????????????????? ???????? 3 ??????,FOX TRICK,??,,????? x3.0 + ???????????????????????? HP ?????? 3 ?????? ??????????+25% ??? 3 ??????
Evolve2,WING,OWL-GHOST,OWL-GHOST,108,26,40,6,#8B7355,??,,???????????????? ?????????? 15% ???????????????????????(????????? 50%???????? 3 ??????),OWL SIGHT,???,,????? x3.0 (???????????) + ??????? ATK/SPD+25% ??? 3 ??????
